 0   1       0                 1
 1.5 0.9667 -0.033867069511577 1.03444708803145
 2.5 0.9456 -0.055935632330303 1.0575296108291
 3.5 0.9255 -0.077421146968585 1.08049702863317
 4.5 0.9062 -0.098495246749099 1.10350915912602
 5.5 0.8877 -0.119121430907863 1.12650670271488
 6.5 0.8699 -0.139377016468642 1.14955742039315
 7.5 0.8529 -0.159112971657073 1.17247039512252
 8.5 0.8365 -0.178528758555258 1.19545726240287
 9.5 0.8207 -0.197597644346471 1.21847203606677
10.5 0.8055 -0.216292076365108 1.24146492861577
11.5 0.7908 -0.234710187685675 1.26454223571067
12.5 0.7767 -0.252701103556535 1.28749839062701
13.5 0.7631 -0.27036619468655  1.31044424059756
14.5 0.7499 -0.287815414674793 1.33351113481798
15.5 0.7372 -0.304896053186469 1.35648399348888
16.5 0.7249 -0.321721564675305 1.37950062077528
